,Sno,Candidate,Constituency,Party,Criminal_Case,Education,Assets,Apprx_Assets,Total_Liabilities,Apprx_Liabilities
1,1,Bapu Rao Soyam,ADILABAD,BJP, 52 ,12th Pass,3099414, 30 Lacs+,231450, 2 Lacs+ 
2,2,Satyapal Singh Baghel,AGRA,BJP, 5 ,Doctorate,74274036, 7 Crore+,8606522, 86 Lacs+ 
3,3,Patel Hasmukhbhai Somabhai,AHMEDABAD EAST,BJP,0,Others,74699690, 7 Crore+,6252577, 62 Lacs+ 
4,4,Dr. Solanki Kiritbhai,AHMEDABAD WEST,BJP,0,Post Graduate,89474039, 8 Crore+,0,  
5,5,Sujay Radhakrishna Vikhe,AHMEDNAGAR,BJP,0,Doctorate,168664576, 16 Crore+,2623964, 26 Lacs+ 
6,6,Bhagirath Chaudhary,AJMER,BJP,0,12th Pass,85101774, 8 Crore+,8319942, 83 Lacs+ 
7,7,Sanjay Shamrao Dhotre,AKOLA,BJP, 1 ,Graduate Professional,77153230, 7 Crore+,14985774, 1 Crore+ 
8,8,A M Ariff,ALAPPUZHA,CPI(M), 2 ,Graduate Professional,15268906, 1 Crore+,2220700, 22 Lacs+ 
9,9,Ramya Haridas,ALATHUR,INC, 3 ,10th Pass,1152816, 11 Lacs+,0,  
10,10,Satish Kumar Gautam,ALIGARH,BJP,0,10th Pass,0,,28095176, 2 Crore+ 
11,11,John Barla,ALIPURDUARS,BJP, 9 ,8th Pass,1418730, 14 Lacs+,0,  
12,12,Rita Bahuguna Joshi,ALLAHABAD,BJP, 6 ,Doctorate,26919330, 2 Crore+,1600000, 16 Lacs+ 
13,13,Ajay Tamta,ALMORA,BJP,0,12th Pass,9910448, 99 Lacs+,55845, 55 Thou+ 
14,14,Mahant Balak Nath,ALWAR,BJP,0,10th Pass,352929, 3 Lacs+,0,  
15,15,Chinta Anuradha,AMALAPURAM,YSRCP,0,Graduate,85993362, 8 Crore+,2431407, 24 Lacs+ 
16,16,Ritesh Pandey,AMBEDKAR NAGAR,BSP, 1 ,Graduate,307265103, 30 Crore+,24739098, 2 Crore+ 
17,17,Smriti Irani,AMETHI,BJP,0,12th Pass,111099609, 11 Crore+,0,  
18,18,Navneet Ravi Rana,AMRAVATI,IND, 1 ,10th Pass,124554656, 12 Crore+,70576979, 7 Crore+ 
19,19,Kachhadiya Naranbhai Bhikhabhai,AMRELI,BJP,0,12th Pass,35900763, 3 Crore+,828961, 8 Lacs+ 
20,20,Gurjeet Singh Aujla,AMRITSAR,INC,0,12th Pass,0,,9031565, 90 Lacs+ 
21,21,Kunwar Danish Ali,AMROHA,BSP,0,Graduate,74920879, 7 Crore+,19579691, 1 Crore+ 
22,22,Dr.Beesetti Venkata Satyavathi,ANAKAPALLE,YSRCP,0,Graduate Professional,91526244, 9 Crore+,11139279, 1 Crore+ 
23,23,Miteshbhai Patel,ANAND,BJP, 2 ,Others,77043053, 7 Crore+,7810840, 78 Lacs+ 
24,24,Manish Tewari,ANANDPUR SAHIB,INC,0,Graduate Professional,154637860, 15 Crore+,0,  
25,25,Talari Rangaiah,ANANTAPUR,YSRCP, 1 ,Doctorate,11773091, 1 Crore+,1135547, 11 Lacs+ 
26,26,Hasnain Masoodi,ANANTNAG,Jammu & Kashmir National Conference,0,Post Graduate,87620672, 8 Crore+,0,  
27,27,Kuldeep Rai Sharma,ANDAMAN AND NICOBAR ISLANDS,INC,0,Graduate Professional,132233012, 13 Crore+,80450870, 8 Crore+ 
28,28,Dharmendra Kumar,AONLA,BJP,0,10th Pass,21766502, 2 Crore+,3324300, 33 Lacs+ 
29,29,S. Jagathrakshakan,ARAKKONAM,DMK, 2 ,10th Pass,1146984897, 114 Crore+,166365972, 16 Crore+ 
30,30,Goddeti Madhavi,ARAKU,YSRCP,0,Graduate Professional,0,,0,  
31,31,Aparupa Poddar (Afrin Ali),ARAMBAG,AITC, 1 ,Post Graduate,12527597, 1 Crore+,4244000, 42 Lacs+ 
32,32,Vishnuprasad. M.K,ARANI,INC, 1 ,Graduate Professional,234564815, 23 Crore+,33409505, 3 Crore+ 
33,33,Pradeep Kumar Singh,ARARIA,BJP, 3 ,10th Pass,5010577, 50 Lacs+,1159200, 11 Lacs+ 
34,34,R. K. Singh,ARRAH,BJP, 1 ,Graduate Professional,79971720, 7 Crore+,0,  
35,35,Tapir Gao,ARUNACHAL EAST,BJP,0,Post Graduate,136628259, 13 Crore+,0,  
36,36,Kiren Rijiju,ARUNACHAL WEST,BJP,0,Graduate Professional,15279000, 1 Crore+,0,  
37,37,Pramila Bisoyi,ASKA,BJD,0,5th Pass,732470, 7 Lacs+,0,  
38,38,Adoor Prakash,ATTINGAL,INC, 7 ,Graduate Professional,144098612, 14 Crore+,27622685, 2 Crore+ 
39,39,Imtiaz Jaleel Syed,AURANGABAD,AIMIM, 4 ,Post Graduate,29562768, 2 Crore+,6800000, 68 Lacs+ 
40,40,Sushil Kumar Singh,AURANGABAD,BJP, 3 ,Post Graduate,0,,3746607, 37 Lacs+ 
41,41,Horen Sing Bey,AUTONOMOUS DISTRICT,BJP, 2 ,Graduate,20693570, 2 Crore+,5956209, 59 Lacs+ 
42,42,Akhilesh Yadav,AZAMGARH,SP,0,Graduate Professional,377859166, 37 Crore+,2853000, 28 Lacs+ 
43,43,Sangh Mitra Maurya,BADAUN,BJP, 2 ,Graduate Professional,40372093, 4 Crore+,0,  
44,44,Gaddigoudar Parvatagouda Chandanagouda,BAGALKOT,BJP,0,Graduate Professional,43980663, 4 Crore+,7987991, 79 Lacs+ 
45,45,Dr. Satyapal Singh,BAGHPAT,BJP, 1 ,Post Graduate,78195793, 7 Crore+,0,  
46,46,Adhir Ranjan Chowdhury,BAHARAMPUR,INC, 7 ,10th Pass,101315437, 10 Crore+,8506984, 85 Lacs+ 
47,47,Akshayabar Lal,BAHRAICH,BJP,0,10th Pass,45691463, 4 Crore+,3028133, 30 Lacs+ 
48,48,Dr. Dhal Singh Bisen,BALAGHAT,BJP,0,Others,88648133, 8 Crore+,1530693, 15 Lacs+ 
49,49,Pratap Chandra Sarangi,BALASORE,BJP, 7 ,Graduate,1346236, 13 Lacs+,160, 1 Hund+ 
50,50,Virendra Singh,BALLIA,BJP, 2 ,Graduate,0,,0,  
51,51,Sukanta Majumdar,BALURGHAT,BJP,0,Doctorate,5825866, 58 Lacs+,2168170, 21 Lacs+ 
52,52,Parbatbhai Patel,BANASKANTHA,BJP,0,Graduate Professional,41819177, 4 Crore+,4500000, 45 Lacs+ 
53,53,R.K. Singh Patel,BANDA,BJP, 2 ,Graduate,55794086, 5 Crore+,0,  
54,54,P. C. Mohan,BANGALORE CENTRAL,BJP,0,12th Pass,755529306, 75 Crore+,312521957, 31 Crore+ 
55,55,D.V. Sadananda Gowda,BANGALORE NORTH,BJP,0,Graduate Professional,209384539, 20 Crore+,104302653, 10 Crore+ 
56,56,D.K. Suresh,BANGALORE RURAL,INC, 5 ,12th Pass,3388920717, 338 Crore+,519320305, 51 Crore+ 
57,57,Tejasvi Surya,BANGALORE SOUTH,BJP,0,Graduate Professional,1346593, 13 Lacs+,0,  
58,58,Shantanu Thakur,BANGAON,BJP, 8 ,Graduate,5265388, 52 Lacs+,0,  
59,59,Giridhari Yadav,BANKA,JD(U), 1 ,Post Graduate,19816050, 1 Crore+,405701, 4 Lacs+ 
60,60,Subhas Kumar Sarkar,BANKURA,BJP, 1 ,Graduate Professional,0,,3261495, 32 Lacs+ 
61,61,Kamlesh Paswan,BANSGAON,BJP, 5 ,Graduate,171706883, 17 Crore+,6049264, 60 Lacs+ 
62,62,Kanakmal Katara,BANSWARA,BJP,0,Graduate Professional,58711904, 5 Crore+,1746729, 17 Lacs+ 
63,63,Suresh Babu Nandigam,BAPATLA,YSRCP,0,8th Pass,4158610, 41 Lacs+,269000, 2 Lacs+ 
64,64,Upendra Singh Rawat,BARABANKI,BJP, 1 ,Post Graduate,18050127, 1 Crore+,3171774, 31 Lacs+ 
65,65,Supriya Sadanand Sule,BARAMATI,NCP,0,Graduate,1408888704, 140 Crore+,5500000, 55 Lacs+ 
66,66,Mohammad Akbar Lone,BARAMULLA,Jammu & Kashmir National Conference,0,Graduate Professional,597434000, 59 Crore+,104935, 1 Lacs+ 
67,67,Dr. Kakoli Ghoshdastidar,BARASAT,AITC, 2 ,Post Graduate,40531018, 4 Crore+,1496059, 14 Lacs+ 
68,68,Surendrajeet Singh Ahluwalia,BARDHAMAN DURGAPUR,BJP,0,Graduate Professional,26521750, 2 Crore+,744076, 7 Lacs+ 
69,69,Sunil Kumar Mondal,BARDHAMAN PURBA,AITC,0,Graduate Professional,20371283, 2 Crore+,148598, 1 Lacs+ 
70,70,Parbhubhai Nagarbhai Vasava	,BARDOLI,BJP,0,Others,0,,3676869, 36 Lacs+ 
71,71,Santosh Kumar Gangwar,BAREILLY,BJP,0,Graduate Professional,126356142, 12 Crore+,13055209, 1 Crore+ 
72,72,Suresh Pujari,BARGARH,BJP,0,Post Graduate,11673429, 1 Crore+,0,  
73,73,Kailash Choudhary,BARMER,BJP, 2 ,Graduate,2402250, 24 Lacs+,0,  
74,74,Abdul Khaleque,BARPETA,INC,0,Post Graduate,7398753, 73 Lacs+,2703693, 27 Lacs+ 
75,75,Arjun Singh,BARRACKPUR,BJP, 24 ,10th Pass,8055691, 80 Lacs+,1100000, 11 Lacs+ 
76,76,Nusrat Jahan Ruhi,BASIRHAT,AITC,0,12th Pass,29088391, 2 Crore+,16881608, 1 Crore+ 
77,77,Deepak Kumar Baij,BASTAR,INC, 1 ,Post Graduate,7721293, 77 Lacs+,1801236, 18 Lacs+ 
78,78,Harish Chandra Alias Harish Dwivedi,BASTI,BJP, 5 ,Post Graduate,8662344, 86 Lacs+,322490, 3 Lacs+ 
79,79,Harsimrat Kaur Badal,BATHINDA,SAD,0,10th Pass,2179919870, 217 Crore+,954852600, 95 Crore+ 
80,80,Pritam Gopinathrao Munde,BEED,BJP, 1 ,Post Graduate,0,,98833794, 9 Crore+ 
81,81,Giriraj Singh,BEGUSARAI,BJP, 6 ,Graduate,83024577, 8 Crore+,12236000, 1 Crore+ 
